"neo","pha","sats","e","a","i","om","w","moid_jup"
"N","N",0,0.387,2.612,24.98,258.05,255.62,2.21
"N","N",0,0.3052,2.321,23.2,212.83,147.11,2.54
"Y","N",0,0.2228,1.458,10.83,304.27,178.93,3.29
"N","N",0,0.379,2.593,18.95,34.41,305.85,2.1
"N","N",0,0.2543,2.189,8.75,106.99,249.25,2.72
"N","N",0,0.4097,2.615,15.29,242.48,91.56,2.1
"Y","N",0,0.5466,2.637,11.57,183.86,156.19,1.41
"Y","N",0,0.5712,2.474,9.4,110.41,350.53,1.32
"N","N",0,0.2777,2.299,4.06,290.24,59.6,2.5
"N","N",0,0.4529,2.628,15.72,229.27,186.65,1.57
"N","N",0,0.3487,2.395,5.49,132.45,353.25,1.86
"Y","N",0,0.5332,2.665,26.68,215.44,132.5,1.95
"N","N",0,0.2971,2.362,8.37,330.22,353.91,2.27
"N","N",0,0.2857,2.229,3.23,100.65,248.04,2.56
"N","N",0,0.469,2.678,15.31,5.78,332.87,1.54
"N","N",1,0.2557,1.947,13.09,213.29,206.73,2.94
"N","N",0,0.301,2.326,22.16,0.83,59.46,2.7
"N","N",0,0.3351,2.251,2.73,259.47,84.58,2.42
"N","N",0,0.2945,2.262,1.88,7.45,313.76,2.39
"Y","N",0,0.4346,1.92,11.87,171.24,26.76,2.22
"N","N",0,0.1545,1.91,25,12.9,43.79,3.24
"N","N",0,0.2754,2.227,5.36,236.34,99.72,2.57
"N","N",0,0.3573,2.392,21.05,357.16,88.84,2.45
"N","N",0,0.3157,2.412,23.96,238.19,148.69,2.36
"N","N",0,0.2777,2.251,5.3,302.42,61.07,2.6
"N","N",0,0.2715,2.195,9.94,308.86,23.12,2.57
"N","N",0,0.4885,2.737,26.68,323.32,84.15,2.5
"N","N",0,0.4193,2.767,28.73,13.81,93.58,2.15
"N","N",0,0.3479,2.393,21.5,261.11,116.43,2.56
"Y","Y",0,0.827,1.078,22.8,87.95,31.44,3.22
"Y","N",0,0.4876,2.195,52.19,62.22,159.72,1.86
"N","N",0,0.2807,2.226,9.98,119.99,185.43,2.4
"Y","Y",0,0.3355,1.246,13.34,337.14,277.02,3.45
"Y","N",0,0.3973,1.863,8.46,133.07,167.84,2.64
"N","N",0,0.3433,2.288,7.11,355.36,354.91,2.35
"N","N",0,0.1233,1.878,25.07,175.51,287.54,3.04
"Y","N",0,0.436,1.368,9.38,274.21,127.28,3.48
"N","N",1,0.1018,1.854,22.9,132.98,313.09,3.1
"N","N",0,0.1104,1.709,21.42,268.35,340.55,3.18
"N","N",0,0.1724,1.926,19.09,273.71,109.07,3.24
"Y","Y",1,0.5599,1.471,6.35,35.54,286.05,3.06
"Y","N",0,0.6063,2.26,18.38,345.55,269.07,2.01
"Y","N",0,0.6144,1.461,22.22,6.6,325.66,3.11
"Y","N",0,0.4669,1.08,16.1,212.88,325.29,3.41
"Y","N",1,0.5381,1.893,41.21,63.45,293.1,3.25
"Y","N",0,0.5702,2.545,20.4,162.92,347.76,1.07
"Y","N",0,0.4492,2.273,12.88,340.6,335.85,2.06
"Y","N",0,0.5055,2.149,23.96,188.27,194.55,2.24
"Y","N",0,0.2559,1.431,8.71,246.29,338.44,3.19
"N","N",0,0.0615,1.391,39.09,130.72,140.52,3.72
